Time,Azimuth,PredRaw,PredPost
58156.48918304,202.882882882883,74,74
58158.3641830395,202.342342342342,74,74
58158.8971830395,252.972972972973,74,74
58159.3546830393,202.882882882883,74,74
58160.2591830391,252.972972972973,74,74
58160.3086830391,202.882882882883,74,74
58161.4841830388,203.063063063063,74,74
58161.9251830388,252.792792792793,74,74
58163.4871830383,203.063063063063,74,74
58164.7391830381,202.702702702703,74,74
58165.6496830378,202.882882882883,74,74
58165.8126830378,252.612612612613,74,74
58166.2601830377,202.522522522523,74,74
58167.5321830374,202.342342342342,74,74
58168.2556830373,202.342342342342,74,74
58170.3321830368,202.342342342342,74,74
58172.3156830363,202.342342342342,74,74
58173.3151830362,202.342342342342,74,74
58174.324183036,202.522522522523,74,74
58176.5031830356,202.342342342342,74,74
58178.3156830352,202.162162162162,74,74
58179.306683035,202.342342342342,74,74
58180.2881830349,202.342342342342,74,74
58181.3181830346,202.522522522523,74,74
58182.3576830345,202.522522522523,74,74
58183.3706830343,202.522522522523,74,74
58184.3401830342,202.522522522523,74,74
58185.3406830339,202.702702702703,74,74
58186.3266830337,202.522522522523,74,74
58187.3241830335,202.702702702703,74,74
58188.2801830333,202.522522522523,74,74
58189.3256830332,202.342342342342,74,74
58190.3166830329,202.522522522523,74,74
58191.3341830327,202.522522522523,74,74
58192.3016830325,202.342342342342,74,74
58193.3146830323,202.342342342342,74,74
58194.3821830322,202.522522522523,74,74
58195.394183032,202.882882882883,74,74
58196.3936830317,202.162162162162,74,74
58197.4836830315,202.162162162162,74,74
58198.5096830313,202.342342342342,74,74
58199.5611830311,202.162162162162,74,74
58200.5686830309,202.162162162162,74,74
58201.5086830307,202.162162162162,74,74
58202.5451830306,202.342342342342,74,74
58203.5236830304,202.162162162162,74,74
58204.6006830303,202.162162162162,74,74
58205.5746830301,202.162162162162,74,74
58206.51618303,202.342342342342,74,74
58207.4896830299,202.522522522523,74,74
58208.4571830297,201.981981981982,74,74
58209.4986830294,201.981981981982,74,74
58210.4921830292,201.981981981982,74,74
58211.556183029,201.981981981982,74,74
58212.5141830289,201.981981981982,74,74
58213.6096830287,202.522522522523,74,74
58214.4011830286,202.522522522523,74,74
58215.5036830283,202.342342342342,74,74
58216.5031830282,202.522522522523,74,74
58217.493683028,202.522522522523,74,74
58218.4746830278,202.702702702703,74,74
58219.4691830278,202.882882882883,74,74
58220.4171830275,202.702702702703,74,74
58221.4321830274,202.522522522523,74,74
58223.444683027,202.342342342342,74,74
58224.4866830268,202.342342342342,74,74
58225.4661830267,202.342342342342,74,74
58227.4986830263,202.342342342342,74,74
58228.5481830262,202.522522522523,74,74
58229.586683026,202.522522522523,74,74
58230.5491830259,202.522522522523,74,74
58231.5126830258,202.342342342342,74,74
58232.5031830256,202.522522522523,74,74
58233.4391830255,202.342342342342,74,74
58234.4321830253,202.702702702703,74,74
58235.4201830252,202.522522522523,74,74
58237.4206830248,202.342342342342,74,74
58238.4291830246,202.162162162162,74,74
58239.4271830244,201.981981981982,74,74
58241.462183024,202.522522522523,74,74
58242.4586830238,201.981981981982,74,74
58244.5531830234,260.0,118,74
58245.2411830233,251.351351351351,76,74
58247.2206830231,252.252252252252,76,74
58250.5921830224,202.342342342342,74,74
58251.3496830222,202.882882882883,74,74
58252.802683022,259.81981981982,118,74
58252.802683022,259.81981981982,118,74
58257.2456830211,251.891891891892,116,74
58258.4791830209,202.522522522523,74,74
58258.7431830209,252.072072072072,116,74
58259.5786830207,202.342342342342,74,74
58260.3636830206,202.522522522523,74,74
58264.9066830199,202.342342342342,74,74
58264.9066830199,202.342342342342,74,74
58266.8196830195,202.702702702703,74,74
58267.5946830194,202.522522522523,74,74
58269.3391830192,202.342342342342,74,74
58272.8321830188,202.342342342342,113,74
58275.5826830184,203.243243243243,113,74
58276.5316830183,260.18018018018,118,74
58276.8231830182,203.603603603604,113,113
58277.5771830182,202.882882882883,113,113
58278.597683018,202.702702702703,113,113
58279.5716830179,202.342342342342,113,113
58280.5111830178,202.522522522523,113,113
58281.5316830176,203.063063063063,113,113
58282.5506830175,203.063063063063,113,113
58283.5166830174,202.522522522523,113,113
58284.5361830172,202.522522522523,113,113
58285.511183017,202.882882882883,113,113
58286.5196830169,202.882882882883,113,113
58287.7876830166,203.603603603604,114,113
58288.3451830165,251.531531531532,116,113
58288.3461830165,203.243243243243,113,113
58289.1031830164,203.063063063063,113,113
58290.4816830163,202.882882882883,113,113
58291.4756830162,202.882882882883,113,113
58292.494183016,203.063063063063,113,113
58293.5431830159,203.063063063063,113,113
58294.5441830158,203.063063063063,113,113
58295.5821830157,202.882882882883,113,113
58296.6676830154,203.063063063063,113,113
58297.4601830153,203.423423423423,113,113
58298.5011830151,254.054054054054,116,113
58298.5151830151,249.369369369369,116,113
58298.6336830151,202.702702702703,113,113
58299.622683015,202.702702702703,113,113
58300.4936830147,253.693693693694,116,113
58304.6396830142,203.423423423423,113,113
58306.280183014,203.603603603604,113,113
58308.1646830136,260.36036036036,118,113
58308.6536830136,203.243243243243,113,113
58309.0031830136,251.171171171171,116,113
58309.5946830134,203.243243243243,113,113
58310.6601830132,203.243243243243,113,113
58312.518183013,203.783783783784,113,113
58314.4931830126,251.171171171171,116,113
58314.5031830127,203.243243243243,113,113
58315.4431830126,203.423423423423,113,113
58316.4006830124,203.063063063063,113,113
58317.3916830122,202.882882882883,113,113
58319.1341830121,261.081081081081,118,113
58319.2731830121,203.243243243243,114,113
58319.956683012,250.630630630631,116,113
58320.285183012,203.243243243243,114,113
58323.6841830114,250.810810810811,116,113
58324.3416830114,254.954954954955,116,113
58324.3421830114,250.810810810811,116,113
58324.4911830113,203.963963963964,114,113
58326.1301830111,203.963963963964,114,113
58326.324183011,254.954954954955,116,113
58326.324183011,251.531531531532,116,113
58327.3131830109,203.243243243243,113,113
58328.3161830107,252.252252252252,116,113
58328.3161830107,255.855855855856,116,113
58328.3421830107,203.243243243243,113,113
58329.3636830106,203.423423423423,113,113
58330.2906830105,251.891891891892,116,113
58330.2906830105,255.855855855856,116,113
58330.3631830105,203.423423423423,113,113
58331.3751830104,203.423423423423,113,113
58332.3521830102,203.423423423423,113,113
58333.57218301,203.783783783784,113,113
58334.3226830099,203.603603603604,113,113
58334.9291830098,261.081081081081,118,113
58335.3701830097,202.882882882883,114,113
58336.4111830096,203.243243243243,114,113
58336.9296830095,260.900900900901,118,113
58337.5606830095,204.144144144144,114,114
58338.4101830094,203.603603603604,114,114
58339.5456830092,204.324324324324,114,114
58340.4166830092,203.243243243243,114,114
58341.386683009,203.063063063063,114,114
58342.5711830088,203.783783783784,114,114
58343.4516830086,203.963963963964,114,114
58344.3501830085,203.423423423423,114,114
58345.4961830082,203.603603603604,114,114
58346.7441830081,203.063063063063,114,114
58348.4766830078,203.063063063063,114,114
58349.7291830076,202.882882882883,113,114
58351.3006830074,202.702702702703,113,114
58352.3506830073,203.243243243243,114,114
58353.332683007,202.702702702703,113,114
58356.5031830046,205.045045045045,114,114
58357.4531830043,202.522522522523,113,114
58357.7251830042,205.225225225225,114,114
58358.399183004,202.702702702703,113,114
58359.3601830038,202.522522522523,113,114
58361.3956830035,202.522522522523,113,114
58361.6091830035,205.225225225225,114,114
58362.3786830034,203.063063063063,113,113
58363.3761830033,203.063063063063,113,113
58364.3701830031,202.882882882883,113,113
58365.374183003,203.423423423423,113,113
58366.394183003,203.423423423423,113,113
58367.4776830027,203.423423423423,113,113
58368.4666830026,203.603603603604,113,113
58369.5361830026,203.243243243243,113,113
58369.8076830025,250.630630630631,116,113
58370.0166830025,250.630630630631,116,113
58370.8341830024,204.324324324324,113,113
58371.0166830023,205.765765765766,114,113
58371.0166830023,205.765765765766,114,113
58373.5671830019,203.243243243243,113,113
58374.5836830018,203.063063063063,113,113
58376.0156830016,257.117117117117,118,113
58376.5051830015,203.063063063063,113,113
58377.4941830014,202.702702702703,113,113
58377.9616830013,257.117117117117,118,113
58378.0061830013,256.936936936937,118,113
58378.4641830013,202.882882882883,113,113
58378.9251830012,250.09009009009,116,113
58379.1301830012,250.09009009009,116,113
58379.4046830011,202.702702702703,113,113
58379.8756830011,205.225225225225,113,113
58380.303683001,204.324324324324,113,113
58381.3121830009,202.882882882883,113,113
58382.3296830008,203.063063063063,113,113
58382.5466830007,250.810810810811,116,113
58383.2796830006,203.063063063063,113,113
58384.2771830005,250.630630630631,116,113
58384.2891830004,203.423423423423,113,113
