Time,Azimuth,PredRaw,PredPost
58154.7921830403,188.108108108108,37,37
58154.7926830403,257.477477477477,37,37
58154.8596830403,188.108108108108,37,37
58154.8611830403,202.882882882883,37,37
58154.9466830403,187.747747747748,37,37
58154.9466830403,256.756756756757,37,37
58154.9761830403,251.891891891892,37,37
58155.1266830403,251.711711711712,37,37
58155.1271830403,257.477477477477,37,37
58155.1281830403,203.963963963964,37,37
58155.2921830402,202.882882882883,37,37
58155.4271830402,260.36036036036,37,37
58155.5236830402,187.567567567568,37,37
58155.5456830402,188.108108108108,37,37
58155.6891830401,187.927927927928,37,37
58155.6896830401,202.882882882883,37,37
58156.0641830401,256.936936936937,37,37
58156.0651830401,187.567567567568,37,37
58156.0651830401,203.603603603604,37,37
58156.3016830401,257.297297297297,37,37
58156.49818304,257.477477477477,37,37
58156.52018304,257.657657657658,37,37
58156.84418304,201.801801801802,37,37
58156.84968304,257.477477477477,37,37
58156.85618304,202.522522522523,37,37
58156.85868304,251.891891891892,37,37
58156.9601830399,257.657657657658,37,37
58156.9926830399,251.531531531532,37,37
58156.9936830399,257.657657657658,37,37
58156.9936830399,202.522522522523,37,37
58157.0616830399,257.477477477477,37,37
58157.1771830398,252.252252252252,37,37
58157.1816830398,257.657657657658,37,37
58157.1826830398,202.162162162162,37,37
58157.2371830398,187.567567567568,37,37
58157.3656830397,188.108108108108,37,37
58157.3806830397,188.468468468469,37,37
58157.7231830397,257.117117117117,37,37
58157.7886830397,251.891891891892,37,37
58157.7911830397,251.711711711712,37,37
58157.8136830396,251.891891891892,37,37
58157.8481830396,187.747747747748,37,37
58157.9361830396,252.432432432432,37,37
58157.9366830396,188.108108108108,37,37
58157.9401830396,203.423423423423,37,37
58157.9401830396,257.117117117117,37,37
58158.7281830395,187.207207207207,37,37
58158.8551830395,187.387387387387,37,37
58158.8706830395,186.846846846847,37,37
58158.8706830395,201.981981981982,37,37
58158.9231830395,257.117117117117,37,37
58158.9391830395,257.297297297297,37,37
58159.0636830395,202.162162162162,37,37
58159.0641830395,257.657657657658,37,37
58159.1286830394,257.297297297297,37,37
58159.3596830394,257.657657657658,37,37
58159.3601830394,187.747747747748,37,37
58159.4776830394,187.927927927928,37,37
58159.4976830393,187.567567567568,37,37
58159.5016830393,259.279279279279,37,37
58159.5911830393,257.297297297297,37,37
58159.6046830392,187.927927927928,37,37
58159.6166830392,188.288288288288,37,37
58159.8251830392,257.657657657658,37,37
58159.8271830392,201.981981981982,34,37
58160.1401830392,258.018018018018,37,37
58160.2426830391,187.207207207207,35,37
58160.3636830391,187.567567567568,35,37
58160.3691830391,257.477477477477,37,37
58160.3701830391,201.621621621622,34,37
58160.6026830391,251.891891891892,36,37
58160.676683039,259.63963963964,37,37
58160.744183039,252.072072072072,36,37
58160.759183039,257.657657657658,37,37
58160.759683039,202.882882882883,34,37
58160.774183039,258.018018018018,37,37
58160.788183039,257.837837837838,37,37
58160.793183039,257.477477477477,37,37
58160.854183039,202.882882882883,34,37
58160.855683039,257.657657657658,37,37
58160.855683039,187.027027027027,35,37
58160.8826830389,201.801801801802,34,37
58160.9226830389,251.891891891892,36,37
58160.9241830389,257.657657657658,37,37
58160.9241830389,203.063063063063,34,37
58160.9371830389,258.018018018018,37,37
58160.9376830389,201.621621621622,34,37
58161.0926830389,251.891891891892,36,37
58161.3586830389,187.747747747748,35,37
58161.5031830388,257.477477477477,37,37
58161.5036830388,186.846846846847,35,37
58161.6426830388,202.342342342342,34,37
58162.0561830388,187.207207207207,35,37
58162.0561830388,257.837837837838,37,37
58162.0601830388,202.882882882883,34,37
58162.1121830387,257.657657657658,37,37
58162.4951830387,187.207207207207,35,37
58162.5846830386,257.477477477477,37,37
58162.6056830385,186.666666666667,35,37
58162.6306830385,187.027027027027,35,37
58162.6306830385,257.657657657658,37,37
58162.6316830385,202.522522522523,34,37
58162.8566830385,252.072072072072,36,37
58162.8576830385,187.207207207207,17,37
58162.9716830385,257.657657657658,37,37
58162.9876830384,187.207207207207,17,37
58162.9891830384,202.522522522523,17,37
58163.2436830384,257.657657657658,37,37
58163.3711830384,251.711711711712,36,37
58163.3751830384,257.477477477477,37,37
58163.3756830383,203.423423423423,34,37
58163.5406830383,202.702702702703,17,37
58163.5551830383,257.477477477477,37,37
58163.5556830383,187.027027027027,35,37
58163.5566830383,203.243243243243,34,37
58163.7031830383,251.531531531532,36,37
58163.8556830382,186.846846846847,35,37
58163.8561830382,201.981981981982,17,37
58163.8566830382,257.657657657658,37,37
58163.8986830382,202.522522522523,17,37
58163.9746830382,187.207207207207,17,37
58164.1066830381,187.207207207207,17,37
58164.1071830381,257.477477477477,37,37
58164.1211830381,187.027027027027,17,37
58165.0596830381,187.207207207207,17,37
58165.0601830381,257.477477477477,18,37
58165.0601830381,202.162162162162,17,37
58165.1026830381,251.531531531532,18,37
58165.1631830381,202.342342342342,17,37
58165.2396830381,251.711711711712,18,37
58165.2411830381,257.297297297297,18,37
58165.2421830381,202.162162162162,17,37
58165.293683038,257.657657657658,18,37
58165.398183038,257.477477477477,18,37
58165.4266830379,257.117117117117,18,37
58165.4416830379,258.018018018018,37,37
58165.4421830379,202.522522522523,17,37
58165.5911830379,257.837837837838,18,37
58165.6591830378,259.81981981982,37,37
58165.8261830378,187.027027027027,35,37
58165.8271830377,202.882882882883,17,37
58166.0381830377,251.711711711712,40,37
58166.0386830377,187.387387387387,17,37
58166.0561830377,187.027027027027,17,37
58166.1501830377,257.477477477477,18,37
58166.1741830376,187.027027027027,17,37
58166.1746830376,202.342342342342,17,37
58166.4221830376,187.207207207207,17,37
58166.4231830376,257.837837837838,18,37
58166.5386830376,202.522522522523,17,37
58166.5746830375,187.207207207207,17,37
58166.8521830375,187.207207207207,17,37
58166.8976830375,202.522522522523,17,37
58166.9066830375,251.891891891892,18,37
58166.9176830374,187.027027027027,17,37
58167.0051830374,187.387387387387,17,37
58168.1021830374,251.711711711712,18,37
58168.2541830374,257.657657657658,18,37
58168.2551830374,202.882882882883,17,37
58168.3536830374,187.387387387387,17,37
58168.3541830374,202.882882882883,17,37
58168.4886830373,187.387387387387,17,37
58168.5041830373,257.657657657658,18,37
58168.5151830372,187.027027027027,17,37
58168.6216830372,187.387387387387,17,37
58168.6216830372,203.063063063063,17,37
58168.6656830372,257.477477477477,18,37
58168.7761830371,257.657657657658,18,37
58168.7996830371,203.063063063063,17,37
58168.8051830371,257.837837837838,18,37
58168.8126830371,202.882882882883,17,37
58168.8286830371,257.477477477477,18,37
58168.8306830371,203.243243243243,17,37
58169.043183037,186.846846846847,17,37
58169.193183037,187.027027027027,17,37
58169.532683037,257.297297297297,18,37
58169.6746830369,259.81981981982,18,37
58169.8591830369,258.018018018018,18,37
58169.8621830369,187.567567567568,17,37
58169.8641830369,203.243243243243,17,37
58169.9256830368,187.027027027027,17,37
58169.9281830368,202.342342342342,17,37
58169.9841830368,252.072072072072,18,37
58170.0261830368,252.072072072072,18,37
58170.0266830368,202.882882882883,17,17
58170.0291830368,187.027027027027,17,17
58170.5556830368,187.567567567568,17,17
58170.6436830367,203.603603603604,17,17
58170.6801830367,187.387387387387,17,17
58170.9246830367,187.207207207207,17,17
58171.0741830367,187.027027027027,17,17
58171.0746830367,202.522522522523,17,17
58171.2086830366,257.657657657658,18,17
58171.3046830366,257.657657657658,18,17
58171.3741830365,187.207207207207,17,17
58171.4181830365,252.072072072072,18,17
58171.4236830365,258.018018018018,18,17
58171.4291830365,203.243243243243,17,17
58171.4766830365,251.891891891892,18,17
58171.4876830365,252.432432432432,18,17
58171.6176830365,257.837837837838,18,17
58171.6191830365,202.882882882883,17,17
58171.6726830365,257.657657657658,18,17
58171.8126830364,203.963963963964,17,17
58171.8211830364,257.837837837838,18,17
58171.8286830364,202.522522522523,17,17
58171.8576830364,251.711711711712,18,17
58171.8591830364,187.387387387387,17,17
58171.8746830363,257.657657657658,18,17
58171.9926830363,187.747747747748,17,17
58171.9951830363,202.702702702703,17,17
58172.8556830363,188.108108108108,17,17
58172.8591830362,202.522522522523,17,17
58172.9691830362,252.072072072072,18,17
58172.9886830362,251.891891891892,18,17
58172.9911830362,187.387387387387,17,17
58173.2886830362,203.963963963964,17,17
58173.3616830362,187.387387387387,17,17
58173.5011830361,187.567567567568,17,17
58173.5021830361,203.963963963964,17,17
58173.7366830361,257.837837837838,18,17
58173.8666830361,257.837837837838,18,17
58173.8681830361,203.423423423423,17,17
58174.0576830361,204.144144144144,17,17
58174.061183036,187.567567567568,17,17
58174.116183036,187.207207207207,17,17
58174.245183036,187.387387387387,17,17
58174.246183036,202.882882882883,17,17
58174.3916830359,257.837837837838,18,17
58175.0561830359,257.477477477477,18,17
58175.5566830358,187.207207207207,17,17
58175.5566830358,203.423423423423,17,17
58175.6031830358,187.027027027027,17,17
58175.7466830358,187.027027027027,17,17
58175.7476830358,204.504504504504,17,17
58175.7881830358,187.027027027027,17,17
58175.7941830357,187.027027027027,17,17
58175.8346830357,186.846846846847,17,17
58175.8551830357,186.846846846847,17,17
58175.8721830357,187.027027027027,17,17
58175.9491830357,187.027027027027,17,17
58175.9916830357,257.837837837838,18,17
58175.9976830356,251.711711711712,18,17
58176.1226830356,257.117117117117,18,17
58176.1231830356,186.846846846847,17,17
58176.1236830356,202.882882882883,17,17
58176.6366830356,203.963963963964,17,17
58176.9201830356,251.891891891892,18,17
58177.0846830356,186.846846846847,17,17
